20 :2021-08-18 12:05:57,285 : INFO : logger : False lock successfully
20 :2021-08-18 12:05:57,299 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:07:01,322 : INFO : logger : File opened successfully
20 :2021-08-18 12:07:01,354 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:07:01,397 : INFO : logger : False lock successfully
20 :2021-08-18 12:07:01,409 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:08:53,246 : INFO : logger : File opened successfully
20 :2021-08-18 12:08:53,337 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:08:53,383 : INFO : logger : False lock successfully
20 :2021-08-18 12:08:53,394 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:09:35,437 : INFO : logger : File opened successfully
20 :2021-08-18 12:09:35,528 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:09:35,563 : INFO : logger : False lock successfully
20 :2021-08-18 12:09:35,588 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:10:48,007 : INFO : logger : File opened successfully
20 :2021-08-18 12:10:48,092 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:10:48,146 : INFO : logger : False lock successfully
20 :2021-08-18 12:10:48,157 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:11:50,080 : INFO : logger : File opened successfully
20 :2021-08-18 12:11:50,124 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:11:50,168 : INFO : logger : False lock successfully
20 :2021-08-18 12:11:50,180 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:15:35,618 : INFO : logger : File opened successfully
20 :2021-08-18 12:15:35,694 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:15:35,737 : INFO : logger : False lock successfully
20 :2021-08-18 12:15:35,760 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:17:53,432 : INFO : logger : File opened successfully
20 :2021-08-18 12:18:25,224 : INFO : logger : File opened successfully
20 :2021-08-18 12:18:25,274 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:18:25,306 : INFO : logger : False lock successfully
20 :2021-08-18 12:18:25,320 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:20:32,241 : INFO : logger : File opened successfully
20 :2021-08-18 12:20:32,280 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 12:20:32,327 : INFO : logger : False lock successfully
20 :2021-08-18 12:20:32,343 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 14:01:05,487 : INFO : logger : File opened successfully
20 :2021-08-18 14:01:05,514 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 14:01:44,689 : INFO : logger : File opened successfully
20 :2021-08-18 14:01:44,721 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 14:01:44,752 : INFO : logger : False lock successfully
20 :2021-08-18 14:01:44,761 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 14:02:07,903 : INFO : logger : File opened successfully
20 :2021-08-18 14:02:07,930 : INFO : logger : units set to kgf_centimeter
20 :2021-08-18 14:02:07,942 : INFO : logger : False lock successfully
20 :2021-08-18 14:02:07,950 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 02:23:04,557 : INFO : logger : File opened successfully
20 :2021-08-19 02:23:04,587 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 02:23:04,603 : INFO : logger : False lock successfully
20 :2021-08-19 02:23:04,611 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 03:19:51,611 : INFO : logger : File opened successfully
20 :2021-08-19 03:19:51,639 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 03:19:51,652 : INFO : logger : False lock successfully
20 :2021-08-19 03:19:51,661 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 03:21:54,794 : INFO : logger : File opened successfully
20 :2021-08-19 03:21:54,825 : INFO : logger : units set to kgf_centimeter
20 :2021-08-19 03:21:54,840 : INFO : logger : False lock successfully
